code,country_code,name
010006,JP,北海道
020001,JP,青森県
030007,JP,岩手県
040002,JP,宮城県
050008,JP,秋田県
060003,JP,山形県
070009,JP,福島県
080004,JP,茨城県
090000,JP,栃木県
100005,JP,群馬県
110001,JP,埼玉県
120006,JP,千葉県
130001,JP,東京都
140007,JP,神奈川県
150002,JP,新潟県
160008,JP,富山県
170003,JP,石川県
180009,JP,福井県
190004,JP,山梨県
200000,JP,長野県
210005,JP,岐阜県
220001,JP,静岡県
230006,JP,愛知県
240001,JP,三重県
250007,JP,滋賀県
260002,JP,京都府
270008,JP,大阪府
280003,JP,兵庫県
290009,JP,奈良県
300004,JP,和歌山県
310000,JP,鳥取県
320005,JP,島根県
330001,JP,岡山県
340006,JP,広島県
350001,JP,山口県
360007,JP,徳島県
370002,JP,香川県
380008,JP,愛媛県
390003,JP,高知県
400009,JP,福岡県
410004,JP,佐賀県
420000,JP,長崎県
430005,JP,熊本県
440001,JP,大分県
450006,JP,宮崎県
460001,JP,鹿児島県
470007,JP,沖縄県